السنة,الشهر,الفئة العمرية,عدد معتمري الخارج,
1440,جمادى الآخرة,21 - 30," 94,768 ",
1440,جمادى الآخرة,31 - 40," 144,485 ",
1440,جمادى الآخرة,41 - 50," 167,322 ",
1440,جمادى الآخرة,51 - 60," 208,814 ",
1440,جمادى الآخرة,60'اكبر من," 258,698 ",
1440,جمادى الآخرة,اصغر من 20," 77,479 ",
1440,جمادى الأولى,21 - 30," 110,094 ",
1440,جمادى الأولى,31 - 40," 154,413 ",
1440,جمادى الأولى,41 - 50," 178,177 ",
1440,جمادى الأولى,51 - 60," 204,628 ",
1440,جمادى الأولى,60'اكبر من," 229,806 ",
1440,جمادى الأولى,اصغر من 20," 108,373 ",
1440,ذو الحجة,21 - 30, 662 ,
1440,ذو الحجة,31 - 40, 882 ,
1440,ذو الحجة,41 - 50," 1,059 ",
1440,ذو الحجة,51 - 60," 1,126 ",
1440,ذو الحجة,60'اكبر من," 1,080 ",
1440,ذو الحجة,اصغر من 20, 751 ,
1440,ربيع الأول,21 - 30," 77,685 ",
1440,ربيع الأول,31 - 40," 113,469 ",
1440,ربيع الأول,41 - 50," 134,285 ",
1440,ربيع الأول,51 - 60," 155,503 ",
1440,ربيع الأول,60'اكبر من," 166,586 ",
1440,ربيع الأول,اصغر من 20," 92,018 ",
1440,ربيع الثاني,21 - 30," 101,749 ",
1440,ربيع الثاني,31 - 40," 142,137 ",
1440,ربيع الثاني,41 - 50," 160,303 ",
1440,ربيع الثاني,51 - 60," 173,157 ",
1440,ربيع الثاني,60'اكبر من," 182,126 ",
1440,ربيع الثاني,اصغر من 20," 127,230 ",
1440,رجب,21 - 30," 93,306 ",
1440,رجب,31 - 40," 143,085 ",
1440,رجب,41 - 50," 168,351 ",
1440,رجب,51 - 60," 202,086 ",
1440,رجب,60'اكبر من," 247,551 ",
1440,رجب,اصغر من 20," 89,612 ",
1440,رمضان,21 - 30," 114,763 ",
1440,رمضان,31 - 40," 167,583 ",
1440,رمضان,41 - 50," 176,454 ",
1440,رمضان,51 - 60," 165,412 ",
1440,رمضان,60'اكبر من," 165,760 ",
1440,رمضان,اصغر من 20," 102,691 ",
1440,شعبان,21 - 30," 109,114 ",
1440,شعبان,31 - 40," 169,956 ",
1440,شعبان,41 - 50," 198,792 ",
1440,شعبان,51 - 60," 269,643 ",
1440,شعبان,60'اكبر من," 349,227 ",
1440,شعبان,اصغر من 20," 87,838 ",
1440,شوال,21 - 30," 5,274 ",
1440,شوال,31 - 40," 8,185 ",
1440,شوال,41 - 50," 9,007 ",
1440,شوال,51 - 60," 8,370 ",
1440,شوال,60'اكبر من," 8,236 ",
1440,شوال,اصغر من 20," 6,697 ",
1440,صفر,21 - 30," 73,950 ",
1440,صفر,31 - 40," 104,895 ",
1440,صفر,41 - 50," 118,492 ",
1440,صفر,51 - 60," 144,136 ",
1440,صفر,60'اكبر من," 155,688 ",
1440,صفر,اصغر من 20," 68,356 ",
1440,محرم,21 - 30," 43,292 ",
1440,محرم,31 - 40," 59,331 ",
1440,محرم,41 - 50," 66,134 ",
1440,محرم,51 - 60," 76,694 ",
1440,محرم,60'اكبر من," 78,976 ",
1440,محرم,اصغر من 20," 42,780 ",
1441,جمادى الآخرة,21 - 30," 84,753 ",
1441,جمادى الآخرة,31 - 40," 127,750 ",
1441,جمادى الآخرة,41 - 50," 152,798 ",
1441,جمادى الآخرة,51 - 60," 192,064 ",
1441,جمادى الآخرة,60'اكبر من," 233,781 ",
1441,جمادى الآخرة,اصغر من 20," 67,859 ",
1441,جمادى الأولى,21 - 30," 89,894 ",
1441,جمادى الأولى,31 - 40," 125,173 ",
1441,جمادى الأولى,41 - 50," 143,024 ",
1441,جمادى الأولى,51 - 60," 158,600 ",
1441,جمادى الأولى,60'اكبر من," 178,889 ",
1441,جمادى الأولى,اصغر من 20," 87,053 ",
1441,ربيع الأول,21 - 30," 64,137 ",
1441,ربيع الأول,31 - 40," 99,574 ",
1441,ربيع الأول,41 - 50," 119,010 ",
1441,ربيع الأول,51 - 60," 135,231 ",
1441,ربيع الأول,60'اكبر من," 156,188 ",
1441,ربيع الأول,اصغر من 20," 58,111 ",
1441,ربيع الثاني,21 - 30," 99,508 ",
1441,ربيع الثاني,31 - 40," 150,593 ",
1441,ربيع الثاني,41 - 50," 174,350 ",
1441,ربيع الثاني,51 - 60," 191,656 ",
1441,ربيع الثاني,60'اكبر من," 202,746 ",
1441,ربيع الثاني,اصغر من 20," 132,859 ",
1441,رجب,21 - 30," 5,860 ",
1441,رجب,31 - 40," 9,388 ",
1441,رجب,41 - 50," 11,890 ",
1441,رجب,51 - 60," 15,319 ",
1441,رجب,60'اكبر من," 19,763 ",
1441,رجب,اصغر من 20," 4,162 ",
1441,صفر,21 - 30," 64,345 ",
1441,صفر,31 - 40," 94,975 ",
1441,صفر,41 - 50," 108,293 ",
1441,صفر,51 - 60," 132,643 ",
1441,صفر,60'اكبر من," 140,464 ",
1441,صفر,اصغر من 20," 61,444 ",
1441,محرم,21 - 30," 22,907 ",
1441,محرم,31 - 40," 32,599 ",
1441,محرم,41 - 50," 39,163 ",
1441,محرم,51 - 60," 49,654 ",
1441,محرم,60'اكبر من," 46,669 ",
1441,محرم,اصغر من 20," 20,413 ",
1442,جمادى الآخرة,21 - 30, 255 ,
1442,جمادى الآخرة,31 - 40, 679 ,
1442,جمادى الآخرة,41 - 50, 867 ,
1442,جمادى الآخرة,51 - 60, 160 ,
1442,جمادى الآخرة,60'اكبر من, 6 ,
1442,جمادى الآخرة,اصغر من 20, 32 ,
1442,جمادى الأولى,21 - 30, 102 ,
1442,جمادى الأولى,31 - 40, 215 ,
1442,جمادى الأولى,41 - 50, 321 ,
1442,جمادى الأولى,51 - 60, 3 ,
1442,جمادى الأولى,اصغر من 20, 10 ,
1442,ربيع الأول,21 - 30, 73 ,
1442,ربيع الأول,31 - 40, 167 ,
1442,ربيع الأول,41 - 50, 192 ,
1442,ربيع الأول,اصغر من 20, 5 ,
1442,ربيع الثاني,21 - 30, 144 ,
1442,ربيع الثاني,31 - 40, 267 ,
1442,ربيع الثاني,41 - 50, 304 ,
1442,ربيع الثاني,اصغر من 20, 16 ,
1442,رجب,21 - 30, 180 ,
1442,رجب,31 - 40, 405 ,
1442,رجب,41 - 50, 527 ,
1442,رجب,51 - 60, 4 ,
1442,رجب,اصغر من 20, 9 ,
1442,رمضان,21 - 30, 795 ,
1442,رمضان,31 - 40," 2,136 ",
1442,رمضان,41 - 50," 3,201 ",
1442,رمضان,51 - 60, 66 ,
1442,رمضان,60'اكبر من, 1 ,
1442,رمضان,اصغر من 20, 72 ,
1442,شعبان,21 - 30, 299 ,
1442,شعبان,31 - 40, 554 ,
1442,شعبان,41 - 50, 795 ,
1442,شعبان,51 - 60, 5 ,
1442,شعبان,اصغر من 20, 37 ,
1442,شوال,21 - 30, 34 ,
1442,شوال,31 - 40, 61 ,
1442,شوال,41 - 50, 290 ,
1442,شوال,اصغر من 20, 11 ,
1443,جمادى الآخرة,21 - 30," 7,520 ",
1443,جمادى الآخرة,31 - 40," 12,598 ",
1443,جمادى الآخرة,41 - 50," 17,485 ",
1443,جمادى الآخرة,51 - 60," 22,293 ",
1443,جمادى الآخرة,60'اكبر من," 23,398 ",
1443,جمادى الآخرة,اصغر من 20," 1,827 ",
1443,جمادى الأولى,21 - 30," 6,333 ",
1443,جمادى الأولى,31 - 40," 11,018 ",
1443,جمادى الأولى,41 - 50," 13,841 ",
1443,جمادى الأولى,51 - 60," 16,071 ",
1443,جمادى الأولى,60'اكبر من," 15,379 ",
1443,جمادى الأولى,اصغر من 20," 1,284 ",
1443,ذو الحجة,21 - 30, 1 ,
1443,ذو الحجة,31 - 40, 1 ,
1443,ذو الحجة,41 - 50, 1 ,
1443,ربيع الأول,21 - 30," 3,018 ",
1443,ربيع الأول,31 - 40," 5,671 ",
1443,ربيع الأول,41 - 50," 8,246 ",
1443,ربيع الأول,51 - 60," 10,765 ",
1443,ربيع الأول,60'اكبر من," 11,313 ",
1443,ربيع الأول,اصغر من 20, 427 ,
1443,ربيع الثاني,21 - 30," 4,477 ",
1443,ربيع الثاني,31 - 40," 7,776 ",
1443,ربيع الثاني,41 - 50," 10,230 ",
1443,ربيع الثاني,51 - 60," 13,078 ",
1443,ربيع الثاني,60'اكبر من," 14,084 ",
1443,ربيع الثاني,اصغر من 20, 548 ,
1443,رجب,21 - 30," 17,695 ",
1443,رجب,31 - 40," 29,081 ",
1443,رجب,41 - 50," 43,865 ",
1443,رجب,51 - 60," 65,198 ",
1443,رجب,60'اكبر من," 73,382 ",
1443,رجب,اصغر من 20," 4,826 ",
1443,رمضان,21 - 30," 68,625 ",
1443,رمضان,31 - 40," 112,226 ",
1443,رمضان,41 - 50," 131,433 ",
1443,رمضان,51 - 60," 149,752 ",
1443,رمضان,60'اكبر من," 173,155 ",
1443,رمضان,اصغر من 20," 39,229 ",
1443,شعبان,21 - 30," 33,692 ",
1443,شعبان,31 - 40," 54,849 ",
1443,شعبان,41 - 50," 73,199 ",
1443,شعبان,51 - 60," 102,005 ",
1443,شعبان,60'اكبر من," 129,022 ",
1443,شعبان,اصغر من 20," 14,246 ",
1443,شوال,21 - 30," 16,391 ",
1443,شوال,31 - 40," 27,158 ",
1443,شوال,41 - 50," 36,317 ",
1443,شوال,51 - 60," 47,561 ",
1443,شوال,60'اكبر من," 56,124 ",
1443,شوال,اصغر من 20," 11,671 ",
1443,صفر,21 - 30," 1,563 ",
1443,صفر,31 - 40," 2,747 ",
1443,صفر,41 - 50," 4,443 ",
1443,صفر,51 - 60," 5,771 ",
1443,صفر,60'اكبر من," 5,444 ",
1443,صفر,اصغر من 20, 293 ,
1443,محرم,21 - 30, 454 ,
1443,محرم,31 - 40, 762 ,
1443,محرم,41 - 50," 1,310 ",
1443,محرم,51 - 60," 1,852 ",
1443,محرم,60'اكبر من," 1,691 ",
1443,محرم,اصغر من 20, 78 ,
1444,جمادى الآخرة,21 - 30," 100,925 ",
1444,جمادى الآخرة,31 - 40," 145,974 ",
1444,جمادى الآخرة,41 - 50," 168,594 ",
1444,جمادى الآخرة,51 - 60," 194,238 ",
1444,جمادى الآخرة,60'اكبر من," 234,439 ",
1444,جمادى الآخرة,اصغر من 20," 103,848 ",
1444,جمادى الأولى,21 - 30," 90,037 ",
1444,جمادى الأولى,31 - 40," 133,080 ",
1444,جمادى الأولى,41 - 50," 149,679 ",
1444,جمادى الأولى,51 - 60," 174,746 ",
1444,جمادى الأولى,60'اكبر من," 197,620 ",
1444,جمادى الأولى,اصغر من 20," 100,347 ",
1444,ذو الحجة,21 - 30, 180 ,
1444,ذو الحجة,31 - 40, 278 ,
1444,ذو الحجة,41 - 50, 377 ,
1444,ذو الحجة,51 - 60, 426 ,
1444,ذو الحجة,60'اكبر من, 471 ,
1444,ذو الحجة,اصغر من 20, 196 ,
1444,ذو القعدة,21 - 30, 2 ,
1444,ذو القعدة,31 - 40, 5 ,
1444,ذو القعدة,41 - 50, 1 ,
1444,ذو القعدة,51 - 60, 2 ,
1444,ذو القعدة,60'اكبر من, 1 ,
1444,ذو القعدة,اصغر من 20, 2 ,
1444,ربيع الأول,21 - 30," 75,066 ",
1444,ربيع الأول,31 - 40," 112,630 ",
1444,ربيع الأول,41 - 50," 134,635 ",
1444,ربيع الأول,51 - 60," 180,381 ",
1444,ربيع الأول,60'اكبر من," 218,642 ",
1444,ربيع الأول,اصغر من 20," 61,816 ",
1444,ربيع الثاني,21 - 30," 83,794 ",
1444,ربيع الثاني,31 - 40," 120,074 ",
1444,ربيع الثاني,41 - 50," 138,264 ",
1444,ربيع الثاني,51 - 60," 183,015 ",
1444,ربيع الثاني,60'اكبر من," 220,414 ",
1444,ربيع الثاني,اصغر من 20," 65,661 ",
1444,رجب,21 - 30," 117,131 ",
1444,رجب,31 - 40," 161,738 ",
1444,رجب,41 - 50," 198,458 ",
1444,رجب,51 - 60," 256,987 ",
1444,رجب,60'اكبر من," 318,429 ",
1444,رجب,اصغر من 20," 96,722 ",
1444,رمضان,21 - 30," 97,664 ",
1444,رمضان,31 - 40," 144,793 ",
1444,رمضان,41 - 50," 155,526 ",
1444,رمضان,51 - 60," 169,702 ",
1444,رمضان,60'اكبر من," 205,358 ",
1444,رمضان,اصغر من 20," 85,527 ",
1444,شعبان,21 - 30," 131,935 ",
1444,شعبان,31 - 40," 193,102 ",
1444,شعبان,41 - 50," 235,246 ",
1444,شعبان,51 - 60," 318,330 ",
1444,شعبان,60'اكبر من," 443,847 ",
1444,شعبان,اصغر من 20," 107,575 ",
1444,شوال,21 - 30," 26,416 ",
1444,شوال,31 - 40," 38,109 ",
1444,شوال,41 - 50," 43,469 ",
1444,شوال,51 - 60," 54,613 ",
1444,شوال,60'اكبر من," 69,396 ",
1444,شوال,اصغر من 20," 22,717 ",
1444,صفر,21 - 30," 63,318 ",
1444,صفر,31 - 40," 89,693 ",
1444,صفر,41 - 50," 107,044 ",
1444,صفر,51 - 60," 140,646 ",
1444,صفر,60'اكبر من," 153,591 ",
1444,صفر,اصغر من 20," 63,000 ",
1444,محرم,21 - 30," 45,569 ",
1444,محرم,31 - 40," 62,525 ",
1444,محرم,41 - 50," 72,870 ",
1444,محرم,51 - 60," 90,942 ",
1444,محرم,60'اكبر من," 92,033 ",
1444,محرم,اصغر من 20," 46,539 ",
1445,جمادى الآخرة,21 - 30," 131,416 ",
1445,جمادى الآخرة,31 - 40," 177,053 ",
1445,جمادى الآخرة,41 - 50," 193,580 ",
1445,جمادى الآخرة,51 - 60," 218,631 ",
1445,جمادى الآخرة,60'اكبر من," 249,119 ",
1445,جمادى الآخرة,اصغر من 20," 140,616 ",
1445,جمادى الأولى,21 - 30," 117,941 ",
1445,جمادى الأولى,31 - 40," 155,737 ",
1445,جمادى الأولى,41 - 50," 174,895 ",
1445,جمادى الأولى,51 - 60," 207,751 ",
1445,جمادى الأولى,60'اكبر من," 237,368 ",
1445,جمادى الأولى,اصغر من 20," 120,617 ",
1445,ذو الحجة,21 - 30," 10,426 ",
1445,ذو الحجة,31 - 40," 12,547 ",
1445,ذو الحجة,41 - 50," 12,853 ",
1445,ذو الحجة,51 - 60," 12,950 ",
1445,ذو الحجة,60'اكبر من," 12,517 ",
1445,ذو الحجة,اصغر من 20," 15,461 ",
1445,ذو القعدة,21 - 30, 15 ,
1445,ذو القعدة,31 - 40, 21 ,
1445,ذو القعدة,41 - 50, 30 ,
1445,ذو القعدة,51 - 60, 29 ,
1445,ذو القعدة,60'اكبر من, 8 ,
1445,ذو القعدة,اصغر من 20, 10 ,
1445,ربيع الأول,21 - 30," 107,884 ",
1445,ربيع الأول,31 - 40," 143,262 ",
1445,ربيع الأول,41 - 50," 158,915 ",
1445,ربيع الأول,51 - 60," 200,788 ",
1445,ربيع الأول,60'اكبر من," 236,887 ",
1445,ربيع الأول,اصغر من 20," 99,617 ",
1445,ربيع الثاني,21 - 30," 106,659 ",
1445,ربيع الثاني,31 - 40," 145,381 ",
1445,ربيع الثاني,41 - 50," 160,630 ",
1445,ربيع الثاني,51 - 60," 204,726 ",
1445,ربيع الثاني,60'اكبر من," 239,726 ",
1445,ربيع الثاني,اصغر من 20," 92,406 ",
1445,رجب,21 - 30," 154,726 ",
1445,رجب,31 - 40," 198,376 ",
1445,رجب,41 - 50," 228,897 ",
1445,رجب,51 - 60," 285,585 ",
1445,رجب,60'اكبر من," 347,444 ",
1445,رجب,اصغر من 20," 134,073 ",
1445,رمضان,21 - 30," 110,924 ",
1445,رمضان,31 - 40," 159,484 ",
1445,رمضان,41 - 50," 168,988 ",
1445,رمضان,51 - 60," 176,258 ",
1445,رمضان,60'اكبر من," 202,675 ",
1445,رمضان,اصغر من 20," 107,364 ",
1445,شعبان,21 - 30," 145,895 ",
1445,شعبان,31 - 40," 197,444 ",
1445,شعبان,41 - 50," 229,588 ",
1445,شعبان,51 - 60," 311,009 ",
1445,شعبان,60'اكبر من," 424,998 ",
1445,شعبان,اصغر من 20," 122,557 ",
1445,شوال,21 - 30," 11,905 ",
1445,شوال,31 - 40," 17,989 ",
1445,شوال,41 - 50," 21,233 ",
1445,شوال,51 - 60," 26,533 ",
1445,شوال,60'اكبر من," 32,349 ",
1445,شوال,اصغر من 20," 11,798 ",
1445,صفر,21 - 30," 101,223 ",
1445,صفر,31 - 40," 124,401 ",
1445,صفر,41 - 50," 135,905 ",
1445,صفر,51 - 60," 165,659 ",
1445,صفر,60'اكبر من," 179,125 ",
1445,صفر,اصغر من 20," 95,166 ",
1445,محرم,21 - 30," 87,754 ",
1445,محرم,31 - 40," 103,967 ",
1445,محرم,41 - 50," 112,957 ",
1445,محرم,51 - 60," 127,656 ",
1445,محرم,60'اكبر من," 123,505 ",
1445,محرم,اصغر من 20," 97,689 ",
